,outputs,gt,train_loss
0,0.0,621.65,0.0
1,0.0,609.67,0.0
2,0.0,610.92,0.0
3,0.0,608.82,0.0
4,0.0,610.38,0.0
5,-201.21672573417527,609.11,0.0
6,-210.15087059537473,607.04,0.0
7,-218.4467735891194,611.58,0.0
8,-223.49225618584023,610.19,0.0
9,-226.53162139116466,608.66,0.0
10,75.19038394995187,598.88,2099795.5
11,648.3340077805915,597.42,195991.71875
12,606.4359870832195,594.08,1021.2283325195312
13,602.2929931751532,603.88,222.3092803955078
14,601.2014078005741,601.74,135.4797821044922
15,599.5150551202132,598.98,64.11952209472656
16,599.3019872786899,605.96,61.185508728027344
17,599.2519682816128,605.67,90.09874725341797
18,601.586845417969,603.85,41.26088333129883
19,598.7099630605371,609.39,36.3277473449707
20,604.3662125531409,614.82,75.3187484741211
21,609.7699686812048,612.98,81.82756042480469
22,609.2254532329171,611.85,90.0881118774414
23,610.4051403894555,609.62,75.11697387695312
24,614.8783406742441,607.18,24.316699981689453
25,616.1525338355495,612.08,42.45329284667969
26,610.372816444109,617.21,33.3592529296875
27,611.6766856832364,614.74,58.87506103515625
28,612.2081278334845,615.65,66.78489685058594
29,613.2803935427837,617.54,65.20762634277344
30,613.5636137847905,614.77,22.145687103271484
31,619.9030934839539,635.01,10.942227363586426
32,619.2915936388526,635.96,320.32757568359375
33,623.4346504043206,634.02,492.8428649902344
34,627.3336966105489,637.94,464.3531188964844
35,630.6387094700767,641.42,387.4607849121094
36,652.6449459654104,638.97,59.887596130371094
37,638.9410390882476,636.29,117.08111572265625
38,637.5212255397419,629.25,37.07993698120117
39,638.5835237861465,627.72,96.163818359375
40,638.3174112765118,631.92,162.4160614013672
41,633.3099878946086,655.48,108.85150146484375
42,635.7415947686604,653.25,566.3150024414062
43,639.2117251030868,651.39,823.8590087890625
44,643.7035569893851,655.31,756.3495483398438
45,646.6246387083374,651.45,445.72637939453125
46,668.8965768964845,682.22,57.98761749267578
47,658.4548218651325,687.68,791.5330810546875
48,665.3580385698006,685.91,1410.8695068359375
49,673.0255357950227,698.0,1393.207763671875
50,681.1837478417438,702.0,1359.886962890625
51,717.9398279181041,697.01,382.85113525390625
52,698.7440503277176,733.33,420.05682373046875
53,703.0750217705427,686.17,1384.9000244140625
54,714.0429346561432,683.69,1420.773681640625
55,703.9876842498779,704.79,1808.8919677734375
56,699.8437743186951,712.0,1763.3060302734375
57,733.0477824258596,709.96,1864.8314208984375
58,697.9143529911671,708.97,1296.760986328125
59,704.6707195260933,720.93,605.0986938476562
60,711.5909980929137,721.5,175.1190948486328
61,714.7868019062225,715.45,174.93605041503906
62,696.1283378601074,703.71,161.85581970214844
63,715.4738464355469,702.28,427.03302001953125
64,720.4843857274027,706.46,399.0783386230469
65,709.2575364410877,710.91,352.30841064453125
66,707.7307387590408,711.73,141.39996337890625
67,707.4949007034302,736.96,88.85841369628906
68,714.2433782815933,747.52,839.8681640625
69,723.3369049429893,748.98,1565.01708984375
70,726.2840128124517,729.06,1652.341552734375
71,731.8939471206977,738.53,1146.52587890625
72,764.3637584082971,736.97,381.0679016113281
73,748.4510547118261,741.63,494.9754943847656
74,739.9679615105852,737.45,267.6272888183594
75,737.1935971663333,735.64,100.98585510253906
76,737.9766745158413,733.67,24.76594352722168
77,737.0705172819144,727.96,40.66864776611328
78,735.1911941428552,727.31,117.25753021240234
79,725.7969805819448,732.71,102.44120025634766
80,731.0304507559049,742.69,76.80374908447266
81,732.7853288932456,742.05,190.91488647460938
82,734.8633426053857,772.43,273.45599365234375
83,739.0084085901253,764.33,1440.380615234375
84,748.6163497695379,762.97,1392.333740234375
85,763.4992204658774,754.63,949.7353515625
86,759.3994934011425,756.62,644.5640869140625
87,789.6533437264006,758.99,282.75225830078125
88,761.0740321544727,769.72,402.7677917480469
89,760.3287299111544,770.02,176.72760009765625
90,762.2930902715088,769.08,264.8045654296875
91,765.4614995735028,777.0,212.763671875
92,761.5766057030633,777.0,197.90933227539062
93,777.5571854278678,777.99,141.33853149414062
94,775.0775681753294,774.89,94.66381072998047
95,775.8009930598782,776.75,66.50996398925781
96,783.4943525791168,775.88,11.49457836151123
97,776.0983822345734,788.7,22.471654891967773
98,779.705840207258,788.4,159.2598419189453
99,781.6337948711298,788.67,248.45217895507812
100,784.9045846118825,793.09,235.395751953125
101,787.9912782391184,824.21,205.0624237060547
102,807.6739806370097,834.97,1220.053955078125
103,807.2412048825354,901.31,2471.65234375
104,827.3953169732049,891.61,9822.4453125
105,855.0895153821912,892.6,9893.220703125
106,904.436159081597,897.33,6056.4970703125
107,893.6345031694218,930.37,3490.331298828125
108,970.5301654502327,930.34,1268.40673828125
109,908.0390332373499,963.38,3295.18994140625
110,923.4264859208415,952.15,3805.021484375
111,935.8671650761098,958.12,2932.2802734375
112,976.7630127176672,997.72,1187.3162841796875
113,959.9822976096038,1015.97,2694.378173828125
114,1010.977381368124,1013.42,3682.49560546875
115,988.5112836919434,1126.76,4472.234375
116,1025.4447200177674,994.67,17519.240234375
117,1068.5770986397692,999.65,13373.5341796875
118,1048.696414668986,896.83,13580.9033203125
119,1007.6097785070306,908.14,29561.53125
120,1090.0454471076373,910.49,36195.6484375
121,949.2710311837,906.05,19806.201171875
122,927.4916054239729,785.22,7989.39453125
123,886.9846445378498,780.92,13133.3466796875
124,862.1547385075246,826.29,20007.00390625
125,754.3529378498279,817.91,16903.50390625
126,829.872405647322,819.55,13080.5068359375
127,737.7492471214646,830.5,2385.152587890625
128,820.2518090932426,903.84,4239.078125
129,840.6746447171608,906.6,5503.29150390625
130,852.6471914899921,895.798875,8520.958984375
131,797.9560384536308,893.6210875,7480.1298828125
132,895.7817958593369,895.64,8036.4248046875
133,976.6647724427457,918.603625,196.60928344726562
134,899.2943663776314,922.0736125,3289.19873046875
135,905.4253069001861,919.97,796.7147827148438
136,910.3068447783735,893.045625,807.4331665039062
137,909.698273670685,915.95625,843.365234375
138,925.594725303381,915.05,598.5658569335938
139,915.9947170298983,920.31225,626.2186279296875
140,912.9499951981197,915.933,535.7108154296875
141,912.1896253982559,912.19,484.6259765625
142,915.7150812119216,964.706075,42.54030990600586
143,925.5859837630705,979.703875,2054.50634765625
144,936.8014148987713,983.42,4134.9443359375
145,951.3342293162132,1013.027,5054.88525390625
146,970.142762607109,1030.999413,5789.43505859375
147,1039.9552632288542,1034.07,3235.81494140625
148,1025.6018987721473,1024.01375,3346.401123046875
149,1021.5988363712313,1050.11,1831.2890625
150,1059.882842101113,1052.84,813.25
151,1057.8533302118594,976.103,902.1819458007812
152,1033.261968199855,999.1035,4497.9794921875
153,1020.9909203885472,997.59,4714.52880859375
154,1029.8997124797024,1000.604625,5051.3623046875
155,1008.7068532250851,999.877375,3662.07421875
156,995.1889813065645,1001.2,615.3819580078125
157,999.5550386895047,1012.325988,12.684293746948242
158,1002.0983389685716,1035.208125,146.71263122558594
159,1009.4742737519482,1035.2,997.95654296875
160,968.1061677499092,1056.637138,1339.314453125
161,1026.2659136967268,1052.779286,3615.35302734375
162,1050.0608788850732,1050.87,1373.9012451171875
163,1070.1536210741324,1123.788429,472.31341552734375
164,1063.5369387473474,1123.223188,5081.654296875
165,1103.8965020827745,1130.01,6472.43408203125
166,1098.0708078580064,1174.86625,7159.4765625
167,1121.4012961674453,1150.605714,8483.689453125
168,1212.7488576443284,1150.37,2328.960693359375
169,1145.5640933207178,1190.75195,3939.44189453125
170,1165.9954180692148,1187.565286,2444.58642578125
171,1216.7679958170047,1190.89,1691.830322265625
172,1172.5624467964517,1259.410817,2954.482421875
173,1197.8300433807308,1285.14,6808.8876953125
174,1241.3030060590245,1287.0,9476.9443359375
175,1244.6884824195877,1270.9333,10689.44140625
176,1262.1228755021148,1275.197375,6850.42333984375
177,1349.088936965316,1279.5,736.571044921875
